,man,e000,
,Bartholomew,e362,Matt 10:3
,Thomas,e363,Matt 10:3
,Simon_the_Canaanite,e364,Matt 10:4
,Judas_Iscariot,e365,Matt 10:4
,Legion,e366,Mark 5:9
,Jairus,e367,Mark 5:22
,Judas,e368,Mark 6:3
,Judas_not_Iscariot,e368,John 14:22
,Jude,e368,Jude 1:1
,Joses,e369,Matt 13:55
,Elijah,e36a,1 Kgs 17:1
,Bartimaeus,e36b,Mark 10:46
,Timaeus,e36c,Mark 10:46
,Barabbas,e36d,Matt 27:16
,Rufus,e36e,Mark 15:21
,Pilate,e36f,Matt 27:2
,Caesar,e370,Acts 26:32
,Mark,e371,Acts 15:37
,Isaiah,e372,2 Kgs 19:2
,Abraham,e373,Matt 1:1
,Isaac,e374,Gen 17:19
,Jacob,e375,Gen 25:26
,James_the_Disciple,e376,Mark 1:19
,Paul,e377,Acts 13:9
,Elkosh,e378,Nah 1:1
,Salome,e379,Mark 15:40
,promise,e37a,
,Thaddaeus,e37b,Matt 10:3
,Simon_of_Cyrene,e37c,Mark 15:21
,.,e37e,
,untie,e37f,
,heaven,e380,Gen 1:8
,go,e381,
,journey,e381,
,travel,e381,
,trip,e381,
,leprosy,e382,
,Pharisee,e383,Matt 23:26
,bowl,e384,
,dish,e384,
,Miriam,e385,Num 12:1
,plate,e386,
,platter,e386,
,shield,e388,
,Jashub,e389,Num 26:24
,Jazer,e38a,Num 21:32
,Abarim,e38b,Num 27:12
,Mahlah,e38c,Num 36:11
,Mattanah,e38d,Num 21:19
,Medeba,e38e,Num 21:30
,Harbona,e38f,
,*,e390,
,pos,e390,
,waist,e391,
,Mount_Peor,e392,Num 23:28
,Mount_Pisgah,e393,Num 21:20
,Nahaliel,e394,Num 21:19
,Nazarite,e395,Num 6:22
,Nemuel,e396,Num 26:9
,least,e397,
,smallest,e397,
,stick,e398,
,nest,e399,
,cover,e39a,
,Nophah,e39b,Num 21:30
,Oboth,e39c,Num 33:43
,Og,e39d,Ps 135:11
